where	source	text
caption	Использовать для модульной кампании	Usar para pauta modular
caption	Использовать для спонсорской кампании	Usar para pauta de patrocinio
caption	Использовать подсветку строк	Usar resaltado de filas
caption	Использовать только для модулей	Usar solo para módulos
caption	КПП:	КПП:
caption	Код ОГРН:	Código ОГРН:
caption	Количество радиостанций:	Cantidad de emisoras:
caption,column	Комментарий	Comentario
caption	Кор. счет:	Cuenta corresponsal:
caption	Корректировка громкости в Дб	Ajuste de volumen en dB
caption	Коэфициент:	Coeficiente:
caption,column	Кто дал скидку	Quién otorgó el descuento
caption	Лицензиар:	Licenciante:
caption	Логин:	Nombre de usuario:
caption	Локальное СМИ (агитация):	Medio local (propaganda electoral):
caption	Макс. вместимость:	Capacidad máx.:
caption	Макс. № джингла на вход:	N.º máx. de jingle de entrada:
caption	Макс. № джингла на выход:	N.º máx. de jingle de salida:
caption	Менеджер:	Gerente:
caption	Менеджер: 	Gerente: 
caption	Менеджерская скидка меньше: 	Descuento del gerente menor que: 
caption	Менеджерская скидка:	Descuento del gerente:
caption	Менеджерский коэффициент ниже чем	Coeficiente del gerente menor que
caption	Место в отчёте:	Posición en el informe:
caption	Место заключения договора:	Lugar de celebración del contrato:
caption	Мин. № джингла на вход:	N.º mín. de jingle de entrada:
caption	Мин. № джингла на выход:	N.º mín. de jingle de salida:
caption	Минимальная сумма (с учётом объёмных скидок):	Monto mínimo (con descuentos por volumen):
caption	Модуль:	Módulo:
caption	Модуль: 	Módulo: 
caption	Музыка (m)	Música (m)
caption,column	Название	Nombre
caption	Название произведения	Título de la obra
caption	Название:	Nombre:
caption	Налог:	Impuesto:
caption	Начало вещания:	Inicio de transmisión:
caption	Начало интервала: 	Inicio del intervalo: 
caption	Начало названия: 	Comienzo del nombre: 
caption	Начало периода:	Inicio del período:
caption	Начало сравниваемого интервала: 	Inicio del intervalo de comparación: 
caption	Начало:	Inicio:
caption	Начиная с:	A partir de:
caption,column	Не включать в счет на предоплату	No incluir en la factura de anticipo
caption	Не позднее (A)	No después de (A)
caption	Не показывать модульные прайс-листы срок действия которых в прошлом	No mostrar listas de precios modulares vencidas
caption	Не показывать прайс-листы срок действия которых в прошлом	No mostrar listas de precios vencidas
caption	Не показывать скидки срок действия которых в прошлом	No mostrar descuentos vencidos
caption	Не показывать спонсорские прайс-листы срок действия которых в прошлом	No mostrar listas de precios de patrocinio vencidas
caption	Не ранее (W)	No antes de (W)
caption	Новая полная продолжительность:	Nueva duración total:
caption	Новая продолжительность:	Nueva duración:
caption	Новая фирма начиная с (оканчивая на начало интервала): 	Empresa nueva desde (hasta el inicio del intervalo): 
caption	Новая цена:	Nuevo precio:
caption	Новости (n)	Noticias (n)
caption	Новый пароль:	Nueva contraseña:
caption	Номер акции	Número de campaña
caption	ОГРН:	ОГРН:
caption	Обозначение остального:	Rótulo del resto:
caption	Обрывать блоки (K)	Cortar bloques (K)
caption	Обрывать фонограммы (H)	Cortar fonogramas (H)
caption	Общее время:	Tiempo total:
caption	Общие	General
caption	Объединить с блоком	Unir con el bloque
caption	Объединять маленькие значения	Agrupar valores pequeños
caption	Объект:	Objeto:
caption	Оканчивая:	Hasta:
caption	Окончание интервала: 	Fin del intervalo: 
caption	Окончание кампании: 	Fin de la pauta: 
caption	Окончание периода:	Fin del período:
caption	Окончание:	Fin:
caption	Окончательная цена:	Precio final:
caption	От (пользователь):	De (usuario):
caption	От (роль):	De (rol):
caption	Отображать легенду	Mostrar leyenda
caption	Отображение выносок:	Mostrar rótulos:
caption	Отчество:	Patronímico:
caption	Отчёт:	Informe:
caption	Пакетный Модуль: 	Módulo en paquete: 
caption	Пакетный модуль:	Módulo en paquete:
caption	Пакетный модуль: 	Módulo en paquete: 
caption,code	Пароль	Contraseña
caption	Пароль:	Contraseña:
caption	Первое место в блоке занято	Primera posición en el bloque ocupada
caption	Перенести на время:	Trasladar a la hora:
caption	Пирог	Torta
caption	Платеж доступен для присвоения акциям	Pago disponible para asignar a campañas
caption	По значениям колонки:	Según los valores de la columna:
caption	Подписи	Firmas
caption	Подпись руководителя:	Firma del director:
caption	Подсветка	Resaltado
caption	Подтверждение нового пароля:	Confirmación de la nueva contraseña:
caption	Подтверждение:	Confirmación:
caption	Позиция:	Posición:
caption	Показать:	Mostrar:
caption	Показывать активированные	Mostrar activadas
caption	Показывать активные объекты	Mostrar objetos activos
caption	Показывать без оплаты	Mostrar sin pago
caption	Показывать используемые ролики 	Mostrar spots en uso 
caption	Показывать мои сообщения	Mostrar mis mensajes
caption	Показывать не используемые ролики 	Mostrar spots sin uso 
caption	Показывать неактивные объекты	Mostrar objetos inactivos
caption	Показывать ролики-пустышки 	Mostrar spots vacíos 
caption	Показывать с оплатой	Mostrar con pago
caption	Показывать скрытые: 	Mostrar ocultos: 
caption	Показывать сообщения для меня	Mostrar mensajes para mí
caption	Показывать только активированные акции	Mostrar solo campañas activadas
caption	Показывать только активные объекты	Mostrar solo objetos activos
caption	Показывать только активные ролики 	Mostrar solo spots activos 
caption	Показывать только активных	Mostrar solo activos
caption	Показывать только занятые	Mostrar solo ocupadas
caption	Показывать только неактивированные	Mostrar solo no activadas
caption	Показывать только незакрытые платежи	Mostrar solo pagos no cerrados
caption	Показывать только новые	Mostrar solo nuevos
caption	Показывать только скидки администраторов	Mostrar solo descuentos de administradores
caption	Показывать только спонсируемые	Mostrar solo patrocinados
caption	Показывать только удалённые	Mostrar solo eliminados
caption	Показывать только фирмы, у которых нет акций с оплатой	Mostrar solo empresas sin campañas con pago
caption	Показывать фирмы без акций	Mostrar empresas sin campañas
caption	Показывать фирмы с акциями	Mostrar empresas con campañas
caption	Политическая агитация	Propaganda política
caption	Полная продолжительность по тарифу:	Duración total según tarifa:
caption	Полная продолжительность:	Duración total:
caption	Полный префикс:	Prefijo completo:
caption	Пользователь имеет права администратора	El usuario tiene permisos de administrador
caption	Пользователь имеет права бухгалтера	El usuario tiene permisos de contador
caption	Пользователь имеет права трафик-менеджера	El usuario tiene permisos de gestor de tráfico
caption	Пользователь имеет право подтверждать	El usuario puede confirmar
caption	Пользователь:	Usuario:
caption	Понедельник	Lunes
caption	Порядок:	Orden:
caption	Последн. ролик (%):	Último spot (%):
caption	Последнее место в блоке занято	Última posición en el bloque ocupada
caption	Последний выпуск до: 	Última emisión antes de: 
caption	Последний выпуск после: 	Última emisión después de: 
caption	Последний менеджер:	Último gerente:
caption	Последняя модификация:	Última modificación:
caption	Прайс-лист:	Lista de precios:
caption	Прайс-листы	Listas de precios
caption	Предмет рекламы:	Rubro publicitario:
caption	Префикс:	Prefijo:
caption	Применить к дням:	Aplicar a los días:
caption	Причина выдачи:	Motivo del otorgamiento:
caption	Программа (p)	Programa (p)
caption	Программа в данный момент является активной	El programa está activo actualmente
caption	Программа выходит в прямом эфире	El programa se emite en vivo
caption	Программа:	Programa:
caption	Программа: 	Programa: 
caption,code,column	Продолжительность	Duración
caption	Продолжительность по тарифу:	Duración según tarifa:
caption	Продолжительность:	Duración:
caption	Процент бонуса более чем: 	Porcentaje de bonificación mayor que: 
caption	Процент заполнения (%):	Porcentaje de ocupación (%):
caption	Прочее	Otros
caption,column	Путь	Ruta
caption	Путь до джинглов на  вход:	Ruta de los jingles de entrada:
caption	Путь до джинглов на выход:	Ruta de los jingles de salida:
caption	Путь до роликов:	Ruta de los spots:
caption	Путь:	Ruta:
caption	Пятница	Viernes
caption,code,menu	Радиостанции	Emisoras
caption	Радиостанции с которыми работает данное агентство	Emisoras con las que trabaja esta agencia
caption	Радиостанция:	Emisora:
caption	Радиостанция: 	Emisora: 
caption	Разбивка	Desglose
caption	Расчетный счет:	Cuenta corriente:
caption	Реквизиты	Datos fiscales y bancarios
caption	Реклама (c)	Publicidad (c)
caption	Рекламный ролик:	Spot publicitario:
caption	Родитель:	Elemento superior:
caption	Ролик:	Spot:
caption	Ролики:	Spots:
caption	Руководитель:	Director:
caption	С разбивкой  по дням	Desglosado por días
caption	С разбивкой  по рекламным окнам	Desglosado por ventanas publicitarias
caption	С разбивкой  по типам кампаний	Desglosado por tipos de pauta
caption	С разбивкой по агентствам	Desglosado por agencias
caption	С разбивкой по акциям	Desglosado por campañas
caption	С разбивкой по группам	Desglosado por grupos
caption	С разбивкой по группам компаний	Desglosado por grupos de empresas
caption	С разбивкой по группам радиостанций	Desglosado por grupos de emisoras
caption	С разбивкой по дням	Desglosado por días
caption	С разбивкой по менеджерам	Desglosado por gerentes
caption	С разбивкой по предметам рекламы	Desglosado por rubros publicitarios
caption	С разбивкой по предметам рекламы (1-й уровень)	Desglosado por rubros publicitarios (1.er nivel)
caption	С разбивкой по радиостанциям	Desglosado por emisoras
caption	С разбивкой по типам кампаний	Desglosado por tipos de pauta
caption	С разбивкой по типам оплаты	Desglosado por tipos de pago
caption	С разбивкой по типу оплаты	Desglosado por tipo de pago
caption	С разбивкой по фирмам	Desglosado por empresas
caption	С этой даты до начала выбранного интервала нет акций: 	Sin campañas desde esta fecha hasta el inicio del intervalo seleccionado: 
caption	СМИ:	Medio:
caption	Свои радиостанции:	Emisoras propias:
caption	Сделать:	Acción:
caption	Системный номер:	Número de sistema:
caption	Скидка:	Descuento:
caption	Скрыть прочтенные	Ocultar leídos
caption	Смена пароля	Cambio de contraseña
caption	Собирать начиная с (%):	Agrupar a partir de (%):
caption	Создан до: 	Creado hasta: 
caption	Создан от: 	Creado desde: 
caption,column	Создатель акции	Creador de la campaña
caption	Создатель акции:	Creador de la campaña:
caption	Справка выдана:	Certificado emitido a:
caption	Среда	Miércoles
caption	Срок хранения истории (в днях):	Plazo de conservación del historial (días):
caption	Срок хранения макетов акций (в днях):	Plazo de conservación de borradores de campañas (días):
caption	Срок хранения удалённых акций (в днях):	Plazo de conservación de campañas eliminadas (días):
caption	Стиль отрисовки:	Estilo de dibujo:
caption	Строка для договора (в лице):	Texto para el contrato (representada por):
caption	Строка для договора (действует на основании):	Texto para el contrato (actuando en virtud de):
caption	Строка для счёта/договора:	Texto para factura/contrato:
caption	Суббота	Sábado
caption	Сумма:	Monto:
caption	Текст:	Texto:
caption	Текущая дата:	Fecha actual:
caption	Текущая цена:	Precio actual:
caption	Текущее время выхода:	Hora de emisión actual:
caption	Телефон:	Teléfono:
caption	Тип блока:	Tipo de bloque:
caption,column	Тип кампании	Tipo de pauta
caption	Тип кампании: 	Tipo de pauta: 
caption	Тип компании: 	Tipo de pauta: 
caption	Тип оплаты:	Tipo de pago:
caption	Тип оплаты: 	Tipo de pago: 
caption	Тип рекламной кампании:	Tipo de pauta publicitaria:
caption	Тип ролика:	Tipo de spot:
caption	Тип:	Tipo:
caption	Только фирмы-пустышки	Solo empresas ficticias
caption	Только часы: по (включительно):	Solo horas: hasta (inclusive):
caption	Только часы: с:	Solo horas: desde:
caption	Уведомление об удаленных выпусках (дни до сегодняшнего дня):	Aviso de emisiones eliminadas (días antes de hoy):
caption	Упоминание в названии: 	Mención en el nombre: 
caption	Учитывать пустые блоки	Considerar bloques vacíos
caption	Файл шаблона КП:	Archivo de plantilla de propuesta comercial:
caption	Фамилия:	Apellido:
caption	Федеральное СМИ (агитация):	Medio federal (propaganda electoral):
caption	Фильтр	Filtro
caption	Фирма-заказчик	Empresa cliente
caption	Фирма-заказчик:	Empresa cliente:
caption	Фирма-заказчик: 	Empresa cliente: 
caption	Фирма:	Empresa:
caption	Цвет:	Color:
caption,code,column	Цена	Precio
caption	Цена по тарифам:	Precio según tarifas:
caption	Цена:	Precio:
caption	Часть названия: 	Parte del nombre: 
caption	Четверг	Jueves
caption	Чужие радиостанции:	Emisoras ajenas:
caption	№ Рекламной акции: 	N.º de campaña publicitaria: 
code	(в наборе нет колонки name)	(el conjunto no tiene la columna name)
code	<без названия>	<sin nombre>
code	<неизвестна>	<desconocida>
code	[·Псевдо·]	[·Pseudo·]
code	lookup без источника	lookup sin origen de datos
code	objectPicker без entity	objectPicker sin entity
code	objectPicker с relationScenario	objectPicker con relationScenario
code	selector без entity	selector sin entity
code	selector без source	selector sin source
code	treeselector без columnid/columnparentid/columnname	treeselector sin columnid/columnparentid/columnname
code	treeselector без source	treeselector sin source
code	{0:HH:mm}: тариф входит в цепочку объединения - правьте его вручную	{0:HH:mm}: la tarifa forma parte de una cadena de unión; modifíquela manualmente
code	{0:HH:mm}: у тарифа есть сгенерированные окна - сначала удалите их или правьте окна	{0:HH:mm}: la tarifa tiene ventanas generadas; elimínelas primero o modifique las ventanas
code	{0:dd.MM.yyyy HH:mm}: продолжительность {1} больше полной {2}	{0:dd.MM.yyyy HH:mm}: la duración {1} supera la duración total {2}
code	{0} {1}, по тарифу {2}	{0} {1}, según tarifa {2}
code	{0} без атрибута name	{0} sin atributo name
code	{0} из {1}	{0} de {1}
code	{0} шт., минута :{1:00}, часы {2}-{3}	{0} uds., minuto :{1:00}, horas {2}-{3}
code	{0} — {1} в фильтре пока не поддержан (этап 2).	{0} — {1} aún no es compatible con el filtro (etapa 2).
code,menu	Агентства и налоги	Agencias e impuestos
code,column,entity	Агентство	Agencia
code	Акции c разбивкой по группам компаний	Campañas desglosadas por grupo de empresas
code	Акции без разбивки на фирмы	Campañas sin desglose por empresa
code	Акции с разбивкой на фирмы	Campañas desglosadas por empresa
code	Атрибутов: {0}	Atributos: {0}
code	В окне уже есть ролик «{0}».	La ventana ya contiene el spot «{0}».
code	В окне уже есть ролики фирмы «{0}».	La ventana ya contiene spots de la empresa «{0}».
code	Введите имя пользователя и пароль	Ingrese el nombre de usuario y la contraseña
code	Войти	Iniciar sesión
code	Восстанавливаем связь с сервером…	Restableciendo la conexión con el servidor…
code,column	Время	Hora
code	Время выхода	Hora de emisión
code	Время выхода меняется только для одной строки времени — выделите окна одного времени.	La hora de emisión solo se modifica para una fila horaria: seleccione ventanas de una misma hora.
code	Время выхода по расписанию:	Hora de emisión programada:
code	Время выхода реальное	Hora de emisión real
code	Время выхода — в виде чч:мм.	Hora de emisión — en formato hh:mm.
code	Все	Todos
code	Все группы	Todos los grupos
code	Всего объектов типа '{0}' для объекта '{1}': {2}	Total de objetos de tipo '{0}' para el objeto '{1}': {2}
code	Всего объектов типа '{0}': {1}	Total de objetos de tipo '{0}': {1}
code	Всего объектов: {0}	Total de objetos: {0}
code	Второй	Segunda
code	Вход	Inicio de sesión
code	Вы действительно хотите отсоединить объект '{0}'?	¿Desea realmente desvincular el objeto '{0}'?
code	Вы действительно хотите удалить выбранные объекты? ({0} шт.)	¿Realmente desea eliminar los objetos seleccionados? ({0} uds.)
code	Вы не вошли в систему	No ha iniciado sesión
code,message	Вы ничего не выбрали. Пожалуйста, выберите хотя бы один рекламный выпуск. Операция прервана.	No se seleccionó nada. Seleccione al menos una emisión publicitaria. Operación cancelada.
code	Вы пытаетесь заменить рекламный ролик в активированной рекламной акции на ролик-пустышку без предмета рекламы. Операция прервана.	Se intenta sustituir un spot de una campaña publicitaria activada por un spot vacío sin rubro publicitario. Operación cancelada.
code	Вы пытаетесь создать ролик-пустышку с нулевой прододжительностью. Это запрещено.	Se intenta crear un spot vacío con duración cero. No está permitido.
code	Выберите окно в сетке. Двойной клик — карточка окна, правая кнопка — действия с окном, «⋯» у времени — действия со строкой.	Seleccione una ventana en la grilla. Doble clic — ficha de la ventana, botón derecho — acciones con la ventana, «⋯» junto a la hora — acciones con la fila.
code	Выберите раздел в меню слева	Seleccione una sección en el menú de la izquierda
code	Выберите станцию	Seleccione una emisora
code	Выбирать не из чего: список пуст.	No hay nada que seleccionar: la lista está vacía.
code	Выбрано станций: {0}	Emisoras seleccionadas: {0}
code	Выбрать	Seleccionar
code	Выбрать объект	Seleccionar objeto
code	Выбрать период отчёта	Seleccionar período del informe
code	Выделено окон: {0}	Ventanas seleccionadas: {0}
code	Выделить строку	Seleccionar fila
code	Выйти	Salir
code	Выпуски станции по эту дату после отметки сможет менять только трафик-менеджер и администратор. Дата раньше текущей снимает отметку с последующих дней.	Una vez marcadas, las emisiones de la emisora hasta esta fecha solo podrán ser modificadas por el gestor de tráfico y el administrador. Una fecha anterior a la actual quita la marca de los días posteriores.
code,menu	Генерация рекламных окон	Generación de ventanas publicitarias
code	Гибрид — модульные тарифы один в один, остальные с учётом правок окон.	Híbrido — las tarifas modulares se copian tal cual, las demás teniendo en cuenta los cambios de ventanas.
code	Готово	Listo
code,column,entity,menu	Группа компаний	Grupo de empresas
code	Да	Sí
code,column	Дата выпуска	Fecha de emisión
code	День обработан	Día procesado
code	Для того, чтобы назначить предмет рекламы для этого ролика, пожалуйста, используйте журнал рекламных акций.	Para asignar un rubro publicitario a este spot, utilice el registro de campañas publicitarias.
code	Дни недели	Días de la semana
code	Добавить	Agregar
code	Доступ закрыт	Acceso denegado
code	Журнал	Registro
code	Журнала сущности {0} в вебе пока нет — на неё не ведёт ни один перенесённый пункт меню.	El registro de la entidad {0} aún no existe en la web — ningún elemento de menú migrado conduce a ella.
code	Заблокированные окна	Ventanas bloqueadas
code	Заблокированные окна: {0}	Ventanas bloqueadas: {0}
code	Загрузка…	Cargando…
code	Задайте значение или снимите галочку.	Indique un valor o desmarque la casilla.
code	Закрыть	Cerrar
code	Замена ролика	Sustitución del spot
code	Записей нет.	No hay registros.
